generation,mean_reward,best_reward,coins_per_episode
1,1.7913,4.2134,4.00
10,16.5477,14.7910,15.67
20,26.4201,25.8365,24.00
30,26.1665,28.2043,25.67
40,25.9336,26.8545,24.67
50,24.3213,26.9766,23.67
60,26.4257,27.7433,25.67
70,24.6874,27.1234,26.00
80,23.1815,25.6302,25.00
90,24.9816,24.9690,24.33
100,26.5306,28.7180,25.67
110,25.7070,27.3589,24.00
120,27.0699,28.9623,25.33
130,26.7262,27.2307,25.67
140,23.8180,27.8403,23.67
150,27.7329,30.1241,26.33
160,24.2962,27.0665,24.00
170,25.6753,26.7484,26.00
180,26.5811,28.4751,25.67
190,25.0191,28.5865,25.33
200,25.2893,28.6374,25.33
210,24.8688,27.2234,25.33
220,26.3031,28.8039,25.33
230,24.6937,28.5898,25.00
240,25.6652,26.1947,25.00
250,26.8727,28.2340,26.00
260,26.8852,29.2919,26.67
270,26.5606,27.2654,26.67
280,24.1756,27.1034,24.33
290,25.2368,27.6163,25.67
300,27.7802,28.5670,25.67
